,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
0,울산,에이치디현대미포 주식회사,하이테크니션 105기 모집,신입/경력(연차무관),학력무관,교육생(연수생),대기업,"4조 12억 9,167만원 (2023)","3,211 명 재직중","7,086만원
자세히보기","1,997억 1,074만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업-KOSPI 상장
1,울산,태광산업 (주),태광산업 2024년 상반기 수시 대졸신입 모집,신입,대졸이상,정규직,중견기업,"2조 247억 4,137만원 (2023)","1,441 명 재직중","8,896만원
자세히보기","55억 6,700만원",안정적인 장수 회사-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-KOSPI 상장
2,울산,우리은행,파트타이머 인재풀 등록,신입/경력(연차무관),학력무관,계약직,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
3,울산,(주)선진,2024 선진 2분기 수시 채용,신입/경력1년↑,대졸이상,정규직,대기업,"1조 1,911억 171만원 (2023)",441 명 재직중,"6,094만원
자세히보기","118억 8,980만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
4,울산,에프알엘코리아,유니클로 신입사원(UMC) 채용,신입,대졸이상,정규직,대기업,"9,219억 4,123만원 (2023)","3,033 명 재직중","3,277만원
자세히보기",240억원,성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-대기업 in 서울-육아휴직 제공 기업
5,울산,AJ네트웍스 주식회사,AJ네트웍스 렌탈부문 5월 수시채용,신입/경력(연차무관),초대졸이상,정규직,중견기업,"5,496억 2,052만원 (2023)",604 명 재직중,"6,267만원
자세히보기","468억 2,229만원",성장판 열린 회사-복지의 끝판왕-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-휴식까지 챙겨줘요!
6,울산,무림페이퍼(주),2024년 4월 무림그룹 직무별 채용,신입/경력(연차무관),대졸이상,정규직,중견기업,"5,143억 763만원 (2023)",445 명 재직중,"8,040만원
자세히보기","1,040억 2,327만원",안정적인 장수 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-집 걱정 안 하기-매출 1000대 기업-KOSPI 상장
7,울산,에이치디현대중공업 주식회사,[HD현대중공업]경영) 내부회계관리 사무보조,신입/경력(연차무관),학력무관,계약직,대기업,"11조 9,579억 8,295만원 (2023)","13,388 명 재직중","9,088만원
자세히보기","4,438억 6,558만원",성장판 열린 회사-구직자 인기기업-매출 1조 클럽-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업-KOSPI 상장
8,울산,에이치디현대중공업 주식회사,[HD현대중공업]문화홍보) 기간제 사원 모집,신입/경력(연차무관),학력무관,계약직,대기업,"11조 9,579억 8,295만원 (2023)","13,388 명 재직중","9,088만원
자세히보기","4,438억 6,558만원",성장판 열린 회사-구직자 인기기업-매출 1조 클럽-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업-KOSPI 상장
9,울산,현대종합금속(주),[현대종합금속] 기계사업본부 서비스부 신입/경력사원 모집,신입/경력(연차무관),초대졸이상,정규직외,중견기업,"7,160억 7,118만원 (2023)",935 명 재직중,"5,718만원
자세히보기","57억 4,982만원",안정적인 장수 회사-구직자 인기기업-신입연봉이 4천이상-집 걱정 안 하기-매출 1000대 기업-빵빵한 구내식당
10,울산,세종공업(주),SJG 각 부문별 경력 및 신입직원 모집,신입/경력(연차무관),학력무관,정규직외,중견기업,"4,788억 3,342만원 (2023)",641 명 재직중,"8,670만원
자세히보기","139억 1,048만원",안정적인 장수 회사-평균연봉 6천이상-KOSPI 상장
11,울산,현대모비스,인사/노무 (울산),신입,대졸이상,정규직,대기업,"38조 9,703억 400만원 (2023)","12,183 명 재직중","11,934만원
자세히보기","4,910억 9,600만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업-인크루트 인증 우수기업-KOSPI 상장-빵빵한 구내식당
12,울산,(주)KCC,[KCC]창호 시공 현장 패트롤 신입/경력 채용,신입/경력(연차무관),초대졸이상,계약직,대기업,"2조 9,995억 1,659만원 (2023)","3,603 명 재직중",-,"480억 8,466만원",안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-대기업 in 서울-KOSPI 상장
13,울산,롯데이네오스화학(주),2024년 4월 인사지원팀 장애인 채용(운전기사 계약직),신입/경력(연차무관),고졸이상,계약직,대기업,"8,994억 9,632만원 (2023)",222 명 재직중,"6,427만원
자세히보기","515억 2,400만원",안정적인 장수 회사-성장판 열린 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-지방에 위치한 대기업-보너스로 행복해요♥-집 걱정 안 하기-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업
14,울산,에이치디현대중공업 주식회사,[HD현대중공업]조선해양)배관설계 PJT기간제 모집 공고,경력(연차무관),학력무관,계약직,대기업,"11조 9,579억 8,295만원 (2023)","13,388 명 재직중","9,088만원
자세히보기","4,438억 6,558만원",성장판 열린 회사-구직자 인기기업-매출 1조 클럽-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업-KOSPI 상장
15,울산,우리은행,[부산동부울산] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","11,230만원
자세히보기","3조 3,813억 9,200만원",구직자 인기기업-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
16,울산,울산상공회의소,울산인적자원개발위원회 전담직원 채용 공고,신입,대졸이상,계약직,소기업,"79억 9,240만원 (2017)",49 명 재직중,"5,568만원
자세히보기","55억 5,064만원",안정적인 장수 회사-성장판 열린 회사
17,울산,(주)동성모터스,[동성모터스] After sales 사업부 인재 모집,신입/경력(연차무관),학력무관,정규직외,중견기업,"9,159억 1,734만원 (2023)",929 명 재직중,"4,779만원
자세히보기",55억원,안정적인 장수 회사-성장판 열린 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업
18,울산,(주)이티에스,2024년 부문별 신입/경력직 모집,신입/경력(연차무관),학력무관,정규직외,중소기업,"945억 9,424만원 (2023)",168 명 재직중,"5,012만원
자세히보기",9억 474만원,채용에 적극적인 회사-인크루트 인증 우수기업
19,울산,한국맥도날드유한회사,2024년도 2회차 레스토랑 신입 매니저 공채 (전국),신입,초대졸이상,정규직,중견기업,"6,913억 4,904만원 (2016)","1,470 명 재직중","3,830만원
자세히보기","699억 1,512만원",안정적인 장수 회사-채용에 적극적인 회사-매출 1000대 기업
20,울산,호디자인,시스템에어컨 후시공 천정 도배 복원(경상),신입,학력무관,정규직,중소기업,30억원 (2022),40 명 재직중,-,-,복지의 끝판왕-보너스로 행복해요♥-아낌없이 주는 커피
21,울산,디엔케이모빌리티(주),(자동차1차사) 안전환경팀 안전 담당 경력직 채용,경력(연차무관),대졸이상,정규직,중견기업,"1,969억 2,995만원 (2023)",390 명 재직중,"5,420만원
자세히보기",60억원,안정적인 장수 회사-성장판 열린 회사-복지의 끝판왕-아침을 왜 굶어요?-거침없이 성장하는 회사-장기근속수당제공 기업-육아휴직 제공 기업-빵빵한 구내식당
22,울산,삼성생명보험(주),기업재무 컨설턴트 모집,신입/경력(연차무관),학력무관,위촉직,대기업,"25조 6,952억 3,300만원 (2010)","6,700 명 재직중",-,"1,000억원",안정적인 장수 회사-구직자 인기기업-채용에 적극적인 회사-대기업 in 서울-KOSPI 상장
23,울산,코스포영남파워(주),2024년 상반기 대졸 신입사원 채용공고,신입,대졸이상,정규직,대기업,"5,682억 2,376만원 (2022)",64 명 재직중,"5,990만원
자세히보기",800억원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-평균연봉 6천이상-지방에 위치한 대기업-자기계발비 지원 기업-보너스로 행복해요♥-아낌없이 주는 커피-매출 1000대 기업-육아휴직 제공 기업-빵빵한 구내식당
24,울산,(주)한솔케미칼,2024년 2분기 한솔케미칼 울산공장 생산기술직 인턴사원(품질관리 업무) 채용,신입,고졸이상,인턴,중견기업,"5,658억 9,702만원 (2023)",698 명 재직중,"9,340만원
자세히보기","566억 7,597만원",안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-평균연봉 6천이상-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-인크루트 인증 우수기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
25,울산,(주)동성모터스,"[동성모터스] BMW (영업, BG) 인재 모집",신입/경력(연차무관),학력무관,정규직외,중견기업,"9,159억 1,734만원 (2023)",929 명 재직중,"4,779만원
자세히보기",55억원,안정적인 장수 회사-성장판 열린 회사-거침없이 성장하는 회사-매출 1000대 기업-인크루트 인증 우수기업
26,울산,(주)우진케이,[조선소 포설경력 3년이상] HD현대중공업 사내협력사 포설반장 모집,경력(연차무관),고졸,정규직,중소기업,"3억 5,000만원 (2022)",30 명 재직중,"3,656만원
자세히보기","5,000만원",복지의 끝판왕-아침을 왜 굶어요?-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
27,울산,(주)우진케이,[경력무관] HD현대중공업 사내협력사 정직원 모집 [취부사 / 용접사],신입/경력(연차무관),학력무관,정규직외,중소기업,"3억 5,000만원 (2022)",30 명 재직중,"3,656만원
자세히보기","5,000만원",복지의 끝판왕-아침을 왜 굶어요?-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
28,울산,(주)우진케이,[경력자 우대] HD현대중공업 사내협력사 전장결선 사원 모집,신입/경력(연차무관),학력무관,정규직외,중소기업,"3억 5,000만원 (2022)",30 명 재직중,"3,656만원
자세히보기","5,000만원",복지의 끝판왕-아침을 왜 굶어요?-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
29,울산,(주)우진케이,"[경력무관]HD 현대중공업 사내협력사 정규직 사원 모집 (동반입사가능, 숙소비 지원 등)",신입/경력(연차무관),학력무관,정규직,중소기업,"3억 5,000만원 (2022)",30 명 재직중,"3,656만원
자세히보기","5,000만원",복지의 끝판왕-아침을 왜 굶어요?-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
30,울산,삼성전자서비스,안전 / 수리 보조 인력 채용 (전국),신입,고졸이상,계약직외,대기업,"2조 210억 7,862만원 (2022)","1,672 명 재직중",-,302억 299만원,구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
31,울산,호디자인,"시스템에어컨 후시공 천정 도배 복원(부산,울산)",신입,학력무관,정규직,중소기업,30억원 (2022),40 명 재직중,-,-,복지의 끝판왕-보너스로 행복해요♥-아낌없이 주는 커피
32,울산,충남대학교산학협력단,[NHN아카데미] JAVA 백엔드 교육생 모집,신입/경력(연차무관),학력무관,교육생(연수생),중소기업,"1,983억 4,401만원 (2023)","1,001 명 재직중","3,899만원
자세히보기","743억 7,083만원",성장판 열린 회사
33,울산,HD현대건설기계(주),[HD현대건설기계]2024년 생산기술직 신입사원 공개채용,신입,학력무관,정규직,대기업,"2조 5,745억 7,088만원 (2023)","1,339 명 재직중","6,893만원
자세히보기",985억 396만원,성장판 열린 회사-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-대기업 in 서울-KOSPI 상장
34,울산,(주)이둔,울산 울주군 온산산단지역 안전감시단 팀장 및 경력 모집,경력(연차무관),학력무관,정규직외,중소기업,"202억 9,276만원 (2023)",262 명 재직중,"3,917만원
자세히보기",1억원,성장판 열린 회사-구직자 인기기업-복지의 끝판왕-보너스로 행복해요♥-장기근속수당제공 기업-빵빵한 구내식당
35,울산,울산항만공사,2024년 하반기 체험형 청년인턴 채용공고,신입/경력(연차무관),학력무관,인턴,중견기업,"1,046억 6,600만원 (2022)",138 명 재직중,"6,232만원
자세히보기","4,404억 8,765만원",성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-보너스로 행복해요♥-집 걱정 안 하기-인크루트 인증 우수기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
36,울산,(주)커리어앤스카우트,건강기능식품 제조업 QA(품질보증) 경력직 채용,경력(연차무관),대졸,정규직,중소기업,"30억 5,000만원 (2015)",41 명 재직중 (헤드헌터 77 명),-,3억원,채용에 적극적인 회사-복지의 끝판왕-자기계발비 지원 기업-보너스로 행복해요♥-아낌없이 주는 커피-장기근속수당제공 기업-육아휴직 제공 기업
37,울산,(주)케이티엠앤에스,[주 5일] kt m&s 5월 울산도매센터 영업매니저 채용합니다.,신입/경력(연차무관),고졸이상,정규직,대기업,"6,951억 3,436만원 (2023)","2,103 명 재직중","4,645만원
자세히보기","2,370억원",성장판 열린 회사-복지의 끝판왕-보너스로 행복해요♥-매출 1000대 기업-장기근속수당제공 기업-휴식까지 챙겨줘요!
